Student ID,Incident Description,Incident Place,Action,Date
79913795933,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,3/18/2019
79913795933,Incident that happened,Classroom,,
79913795933,Incident that happened,Classroom,,
79913795933,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,4/24/2019
79913795933,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,4/22/2019
79913795933,Incident that happened,Classroom,CONFERENCE WITH ADMIN,4/24/2019
79993911979,Incident that happened,Classroom,WARNING,10/2/2018
79993911979,Incident that happened,Classroom,1 DETENTION ASSIGNED,12/18/2018
79993911979,Incident that happened,Classroom,WARNING,2/4/2019
79993911979,Incident that happened,Other,WARNING,4/3/2019
71797717513,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,4/18/2019
71757395577,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,3/13/2019
